Дата,Доллар США,Евро,Индийская рупия,Украинская гривна
01/03/2020,66.9909,73.7235,0.93075,2.7257
02/03/2020,66.9909,73.7235,0.93075,2.7257
03/03/2020,66.3274,73.4178,0.92001,2.6803
04/03/2020,66.4437,73.9385,0.90963,2.664
05/03/2020,66.0784,73.7369,0.89901,2.64485
06/03/2020,66.1854,73.6842,0.90356,2.67627
07/03/2020,67.5175,75.8424,0.91804,2.72248
08/03/2020,67.5175,75.8424,0.91804,2.72248
09/03/2020,67.5175,75.8424,0.91804,2.72248
10/03/2020,67.5175,75.8424,0.91804,2.72248
11/03/2020,72.0208,81.8588,0.97129,2.8433
12/03/2020,71.472,81.0207,0.97016,2.79528
13/03/2020,74.0274,83.6584,0.99801,2.86567
14/03/2020,73.1882,81.861,0.98926,2.80454
15/03/2020,73.1882,81.861,0.98926,2.80454
16/03/2020,73.1882,81.861,0.98926,2.80454
17/03/2020,74.1262,82.7471,0.99759,2.8124
18/03/2020,73.8896,82.3056,0.9977,2.73767
19/03/2020,77.2131,84.8881,1.03788,2.84034
20/03/2020,80.157,87.2669,1.06772,2.88383
21/03/2020,78.0443,84.1552,1.04069,2.78755
22/03/2020,78.0443,84.1552,1.04069,2.78755
23/03/2020,78.0443,84.1552,1.04069,2.78755
24/03/2020,80.8815,86.705,1.06486,2.87703
25/03/2020,78.8493,85.4253,1.03514,2.83733
26/03/2020,77.7928,84.1485,1.01852,2.77831
27/03/2020,78.7223,85.9648,1.04462,2.79902
28/03/2020,77.7325,85.7389,1.03457,2.75213
29/03/2020,77.7325,85.7389,1.03457,2.75213
30/03/2020,77.7325,85.7389,1.03457,2.75213
31/03/2020,77.7325,85.7389,1.03457,2.75213
01/04/2020,77.7325,85.7389,1.03457,2.75213
02/04/2020,77.7325,85.7389,1.03457,2.75213
03/04/2020,77.7325,85.7389,1.03457,2.75213
04/04/2020,77.7325,85.7389,1.03457,2.75213
05/04/2020,77.7325,85.7389,1.03457,2.75213
06/04/2020,77.7325,85.7389,1.03457,2.75213
07/04/2020,76.4074,82.6346,1.00268,2.80394
08/04/2020,75.455,82.012,0.99767,2.78478
09/04/2020,75.7499,82.2341,0.99175,2.77828
10/04/2020,74.605,81.0882,0.97788,2.7388
11/04/2020,73.7515,80.7358,0.97151,2.71095
12/04/2020,73.7515,80.7358,0.97151,2.71095
13/04/2020,73.7515,80.7358,0.97151,2.71095
14/04/2020,73.5245,80.5387,0.96407,2.71659
15/04/2020,73.315,80.1186,0.96113,2.69888
16/04/2020,73.7145,80.6731,0.96441,2.71084
17/04/2020,74.7119,81.2791,0.97177,2.74941
18/04/2020,73.9441,80.111,0.9678,2.7319
19/04/2020,73.9441,80.111,0.9678,2.7319
20/04/2020,73.9441,80.111,0.9678,2.7319
21/04/2020,74.6657,81.1019,0.97554,2.75755
22/04/2020,76.2562,82.616,0.99279,2.81536
23/04/2020,77.0416,83.6826,1.00458,2.84512
24/04/2020,75.129,81.1468,0.98762,2.78333
25/04/2020,74.7163,80.2528,0.97726,2.74855
26/04/2020,74.7163,80.2528,0.97726,2.74855
27/04/2020,74.7163,80.2528,0.97726,2.74855
28/04/2020,74.496,80.7611,0.97703,2.74842
29/04/2020,74.5706,80.7749,0.97878,2.75677
30/04/2020,73.6894,80.0488,0.97379,2.73605
01/05/2020,72.7263,79.1189,0.96833,2.69798
02/05/2020,72.7263,79.1189,0.96833,2.69798
03/05/2020,72.7263,79.1189,0.96833,2.69798
04/05/2020,72.7263,79.1189,0.96833,2.69798
05/05/2020,72.7263,79.1189,0.96833,2.69798
06/05/2020,72.7263,79.1189,0.96833,2.69798
07/05/2020,73.9719,80.0598,0.97633,2.74603
08/05/2020,74.1169,80.0611,0.97671,2.76427
09/05/2020,73.8725,80.0039,0.97783,2.75448
10/05/2020,73.8725,80.0039,0.97783,2.75448
11/05/2020,73.8725,80.0039,0.97783,2.75448
12/05/2020,73.8725,80.0039,0.97783,2.75448
13/05/2020,73.4326,79.4394,0.97254,2.73938
14/05/2020,73.5819,79.7775,0.97505,2.75588
15/05/2020,73.9298,79.9033,0.97839,2.77208
16/05/2020,73.2056,79.1279,0.96865,2.74836
17/05/2020,73.2056,79.1279,0.96865,2.74836
18/05/2020,73.2056,79.1279,0.96865,2.74836
19/05/2020,72.9798,78.9422,0.96134,2.74623
20/05/2020,72.3918,79.1677,0.95706,2.73202
21/05/2020,72.3381,79.1813,0.95428,2.72226
22/05/2020,70.924,77.7965,0.93793,2.64812
23/05/2020,71.8804,78.4431,0.94635,2.68697
24/05/2020,71.8804,78.4431,0.94635,2.68697
25/05/2020,71.8804,78.4431,0.94635,2.68697
26/05/2020,71.5962,77.8823,0.94201,2.66206
27/05/2020,71.1408,77.7854,0.93987,2.64449
28/05/2020,71.0635,77.9069,0.93855,2.63142
29/05/2020,71.1012,78.2611,0.93828,2.6444
30/05/2020,70.752,78.5489,0.93564,2.62872
31/05/2020,70.752,78.5489,0.93564,2.62872
01/06/2020,70.752,78.5489,0.93564,2.62872
02/06/2020,69.7114,77.6376,0.92288,2.59886
03/06/2020,68.9831,76.7782,0.91535,2.57376
04/06/2020,68.3413,76.6243,0.90548,2.55239
05/06/2020,69.0151,77.3245,0.91318,2.5847
06/06/2020,68.6319,77.9658,0.90833,2.57973
07/06/2020,68.6319,77.9658,0.90833,2.57973
08/06/2020,68.6319,77.9658,0.90833,2.57973
09/06/2020,68.3123,77.1861,0.90416,2.57008
10/06/2020,68.6745,77.3481,0.90824,2.57763
11/06/2020,68.6183,77.9229,0.90771,2.57568
12/06/2020,69.1219,78.5225,0.91213,2.59902
13/06/2020,69.1219,78.5225,0.91213,2.59902
14/06/2020,69.1219,78.5225,0.91213,2.59902
15/06/2020,69.1219,78.5225,0.91213,2.59902
16/06/2020,70.395,79.1451,0.92585,2.6222
17/06/2020,69.7524,79.0434,0.91521,2.60812
18/06/2020,69.4822,78.3829,0.91246,2.5948
19/06/2020,69.618,78.2924,0.91439,2.59925
20/06/2020,69.5725,78.0047,0.91311,2.6029
21/06/2020,69.5725,78.0047,0.91311,2.6029
22/06/2020,69.5725,78.0047,0.91311,2.6029
23/06/2020,69.4835,77.8285,0.91387,2.60606
24/06/2020,68.8376,77.6832,0.91001,2.58741
25/06/2020,68.8376,77.759,0.90902,2.58172
26/06/2020,69.466,78.0589,0.91805,2.60441
27/06/2020,69.1284,77.5413,0.91421,2.59175
28/06/2020,69.1284,77.5413,0.91421,2.59175
29/06/2020,69.1284,77.5413,0.91421,2.59175
30/06/2020,69.9513,78.6812,0.92569,2.61743
01/07/2020,70.4413,78.9929,0.93271,2.64194
